iter	Logloss
507	0.1449638936
508	0.1449544916
509	0.144949825
510	0.1449466714
511	0.1449427514
512	0.1449398827
513	0.1449370434
514	0.1449315221
515	0.144926993
516	0.1449244485
517	0.1449200472
518	0.1449169525
519	0.1449135729
520	0.1449111364
521	0.1449077666
522	0.1449033161
523	0.1449010762
524	0.1448991801
525	0.1448949752
526	0.1448907409
527	0.1448892574
528	0.1448871353
529	0.1448842371
530	0.1448812505
531	0.1448775172
532	0.1448743832
533	0.1448703159
534	0.1448673587
535	0.1448635075
536	0.1448603932
537	0.1448567287
538	0.1448541154
539	0.1448499891
540	0.1448463737
541	0.1448433773
542	0.1448398503
543	0.1448368735
544	0.1448325606
545	0.1448302223
546	0.1448260863
547	0.144822854
548	0.1448194449
549	0.1448180695
550	0.144814906
551	0.1448126268
552	0.1448088247
553	0.1448057791
554	0.1448032346
555	0.1447997961
556	0.1447978803
557	0.1447918481
558	0.1447896474
559	0.1447884783
560	0.1447863366
561	0.1447796461
562	0.1447751564
563	0.1447721108
564	0.144770028
565	0.1447672281
566	0.1447628464
567	0.1447597418
568	0.1447566668
569	0.1447538177
570	0.1447506149
571	0.1447476283
572	0.1447430206
573	0.1447366937
574	0.1447331274
575	0.1447320271
576	0.1447295513
577	0.1447274784
578	0.1447243444
579	0.144721849
580	0.144717821
581	0.1447133705
582	0.144710767
583	0.1447093425
584	0.1447055109
585	0.1447021903
586	0.1446990661
587	0.1446948907
588	0.1446893301
589	0.1446865105
590	0.1446834747
591	0.144680773
592	0.1446757134
593	0.1446724124
594	0.144668463
595	0.1446624603
596	0.1446601712
597	0.1446591789
598	0.144656487
599	0.1446536772
600	0.1446496787
601	0.144646024
602	0.1446391076
603	0.1446348929
604	0.1446300494
605	0.1446263948
606	0.144623526
607	0.1446213057
608	0.1446157156
609	0.1446118841
610	0.1446070111
611	0.1446033368
612	0.1446007726
613	0.1445952709
614	0.1445897496
615	0.1445861735
616	0.1445833834
617	0.1445783827
618	0.1445751112
619	0.1445720165
620	0.144568519
621	0.1445652573
622	0.1445617991
623	0.1445590581
624	0.1445570342
625	0.144550442
626	0.14454664
627	0.1445425432
628	0.1445384955
629	0.144535951
630	0.1445299384
631	0.1445255273
632	0.1445203989
633	0.1445169898
634	0.1445119302
635	0.1445087373
636	0.1445063107
637	0.1445026462
638	0.1444992665
639	0.1444962603
640	0.1444944329
641	0.1444913284
642	0.1444879095
643	0.1444842646
644	0.1444811503
645	0.1444766802
646	0.144474342
647	0.1444718072
648	0.1444689483
649	0.144467062
650	0.144464488
651	0.1444612853
652	0.1444586622
653	0.1444572278
654	0.1444546145
655	0.1444519128
656	0.1444469612
657	0.1444428645
658	0.144440202
659	0.1444370877
660	0.1444342484
661	0.1444323523
662	0.1444256619
663	0.1444221447
664	0.1444194921
665	0.1444181953
666	0.1444143834
667	0.1444124677
668	0.1444092845
669	0.1444053056
670	0.1444031934
671	0.1444001969
672	0.1443980847
673	0.1443947738
674	0.1443904413
675	0.1443875922
676	0.144382955
677	0.1443793888
678	0.1443774239
679	0.1443756751
680	0.144372885
681	0.1443707531
682	0.1443644065
683	0.1443589736
684	0.1443568515
685	0.1443548375
686	0.1443524993
687	0.1443498074
688	0.1443469387
689	0.144345465
690	0.1443413191
691	0.1443390889
692	0.1443376742
693	0.1443331648
694	0.1443304729
695	0.144328174
696	0.1443263761
697	0.1443233404
698	0.1443209432
699	0.144318212
700	0.144316591
701	0.1443124549
702	0.14430769
703	0.1443032887
704	0.1443000368
705	0.1442967456
706	0.1442925604
707	0.144290065
708	0.1442872945
709	0.1442838363
710	0.1442801521
711	0.1442787374
712	0.144275014
713	0.1442723515
714	0.1442693453
715	0.1442655039
716	0.1442616625
717	0.1442590689
718	0.1442549525
719	0.1442525848
720	0.1442462775
721	0.1442435266
722	0.1442409035
723	0.1442394397
724	0.1442360109
725	0.1442334468
726	0.1442304601
727	0.144227277
728	0.1442244771
729	0.1442234357
730	0.1442202231
731	0.1442165389
732	0.1442148098
733	0.1442123144
734	0.1442063018
735	0.1442042485
736	0.1442010654
737	0.1441997293
738	0.1441977939
739	0.1441927441
740	0.1441898754
741	0.1441886473
742	0.144185759
743	0.1441841183
744	0.1441813674
745	0.144178764
746	0.1441767794
747	0.1441744019
748	0.144171484
749	0.144168242
750	0.1441652357
751	0.1441602154
752	0.1441579067
753	0.1441532499
754	0.1441516485
755	0.1441481608
756	0.1441451546
757	0.1441431897
758	0.1441414114
759	0.144139643
760	0.1441368824
761	0.1441344754
762	0.1441311351
763	0.1441287576
764	0.144126046
765	0.1441236096
766	0.144119503
767	0.1441182651
768	0.1441151409
769	0.1441118988
770	0.1441092561
771	0.1441074385
772	0.1441048842
773	0.1441020449
774	0.1441000506
775	0.1440967201
776	0.1440917293
777	0.1440892437
778	0.1440859722
779	0.1440820227
780	0.1440778866
781	0.1440737407
782	0.1440716285
783	0.1440700762
784	0.1440662742
785	0.1440622756
786	0.1440601142
787	0.1440570981
788	0.1440520582
789	0.1440484133
790	0.1440456625
791	0.1440440022
792	0.1440392078
793	0.1440364865
794	0.1440333819
795	0.1440314072
796	0.1440300023
797	0.1440271925
798	0.1440250705
799	0.1440205119
800	0.1440178495
801	0.1440160516
802	0.1440128292
803	0.1440102356
804	0.1440070917
805	0.1440045374
806	0.1440025234
807	0.1439998118
808	0.1439980533
809	0.1439947424
810	0.1439924435
811	0.1439910091
812	0.1439891523
813	0.1439842008
814	0.1439830219
815	0.1439802809
816	0.1439771665
817	0.1439753195
818	0.1439715862
819	0.1439676761
820	0.1439658782
821	0.1439620172
822	0.1439582152
823	0.1439565745
824	0.143953578
825	0.1439489606
826	0.1439455515
827	0.1439406491
828	0.1439366309
829	0.1439335362
830	0.1439298717
831	0.1439244584
832	0.1439214227
833	0.1439203714
834	0.1439173553
835	0.1439138578
836	0.1439100558
837	0.1439076292
838	0.1439046327
839	0.1439029429
840	0.1438993373
841	0.1438971858
842	0.1438946314
843	0.143890122
844	0.1438872631
845	0.1438840014
846	0.143879266
847	0.143877645
848	0.1438757685
849	0.1438738233
850	0.1438711412
851	0.1438665237
852	0.1438631146
853	0.1438621027
854	0.1438590571
855	0.1438570235
856	0.1438525534
857	0.143849498
858	0.1438472973
859	0.14384267
860	0.1438381999
861	0.1438358223
862	0.1438319319
863	0.1438287586
864	0.1438262435
865	0.1438238267
866	0.1438215278
867	0.1438186984
868	0.1438149356
869	0.143812057
870	0.1438106325
871	0.1438092669
872	0.1438064571
873	0.1438027336
874	0.1437963183
875	0.1437945794
876	0.1437920054
877	0.1437885472
878	0.1437873977
879	0.1437844897
880	0.1437801473
881	0.1437759915
882	0.1437716491
883	0.14376824
884	0.143764939
885	0.1437627187
886	0.1437595847
887	0.1437564016
888	0.1437513518
889	0.1437496129
890	0.1437475596
891	0.1437448579
892	0.1437425786
893	0.1437391695
894	0.1437369787
895	0.1437339822
896	0.1437316145
897	0.1437285788
898	0.1437265943
899	0.1437227431
900	0.1437146969
901	0.1437109046
902	0.1437090183
903	0.1437066998
904	0.1437036149
905	0.1436994395
906	0.143696561
907	0.1436933091
908	0.1436900965
909	0.1436867758
910	0.1436846046
911	0.1436818931
912	0.1436797612
913	0.143677423
914	0.1436719213
915	0.1436683845
916	0.1436663508
917	0.1436635902
918	0.1436594934
919	0.1436561924
920	0.1436530977
921	0.1436506808
922	0.1436473897
923	0.1436439609
924	0.1436408662
925	0.1436375161
926	0.1436356495
927	0.143632653
928	0.1436296172
929	0.1436259724
930	0.1436243317
931	0.1436223275
932	0.1436198419
933	0.1436147136
934	0.1436115206
935	0.1436078463
936	0.1436044765
937	0.1436017355
938	0.143596951
939	0.143595438
940	0.1435942395
941	0.1435920781
942	0.1435895434
943	0.1435874016
944	0.1435858199
945	0.1435833736
946	0.1435807505
947	0.1435792768
948	0.1435780979
949	0.1435729008
950	0.1435698159
951	0.1435678215
952	0.1435658075
953	0.1435639311
954	0.1435611704
955	0.143559235
956	0.1435560224
957	0.1435543817
958	0.1435523775
959	0.1435486737
960	0.1435469937
961	0.1435462667
962	0.1435423566
963	0.1435398023
964	0.1435372282
965	0.143534055
966	0.1435318248
967	0.1435286319
968	0.1435251442
969	0.1435211555
970	0.1435181885
971	0.143516204
972	0.1435135907
973	0.1435115373
974	0.143509376
975	0.1435070279
976	0.143505623
977	0.1435033831
978	0.1435021452
979	0.1434988638
980	0.1434963389
981	0.1434951109
982	0.1434923207
983	0.1434903362
984	0.1434871629
985	0.1434848542
986	0.1434825356
987	0.1434767687
988	0.1434746466
989	0.1434722003
990	0.1434702354
991	0.1434683393
992	0.1434662467
993	0.1434620222
994	0.1434602047
995	0.1434583184
996	0.1434558131
997	0.1434515395
998	0.1434494567
999	0.1434458119
