iter	Passed	Remaining
413	3446	4878
414	3454	4870
415	3463	4861
416	3471	4853
417	3479	4844
418	3488	4836
419	3496	4828
420	3504	4820
421	3513	4812
422	3521	4803
423	3530	4796
424	3538	4787
425	3547	4779
426	3555	4771
427	3563	4762
428	3572	4754
429	3580	4745
430	3588	4737
431	3596	4728
432	3604	4719
433	3612	4711
434	3620	4703
435	3629	4694
436	3637	4686
437	3645	4677
438	3653	4668
439	3661	4660
440	3669	4651
441	3677	4643
442	3685	4634
443	3693	4625
444	3701	4616
445	3710	4608
446	3719	4601
447	3727	4592
448	3735	4584
449	3743	4575
450	3752	4567
451	3760	4559
452	3768	4551
453	3778	4543
454	3787	4536
455	3795	4528
456	3803	4519
457	3812	4511
458	3820	4503
459	3829	4494
460	3837	4486
461	3845	4477
462	3853	4469
463	3861	4460
464	3869	4451
465	3877	4443
466	3885	4434
467	3893	4426
468	3902	4417
469	3910	4409
470	3918	4401
471	3926	4392
472	3934	4383
473	3942	4375
474	3950	4366
475	3958	4357
476	3966	4349
477	3974	4340
478	3983	4332
479	3991	4323
480	3999	4315
481	4007	4306
482	4015	4297
483	4023	4289
484	4032	4281
485	4040	4273
486	4049	4265
487	4057	4257
488	4066	4249
489	4074	4240
490	4082	4232
491	4090	4223
492	4099	4215
493	4107	4207
494	4115	4198
495	4124	4190
496	4132	4182
497	4141	4174
498	4149	4165
499	4157	4157
500	4165	4149
501	4174	4141
502	4182	4132
503	4191	4124
504	4199	4116
505	4207	4107
506	4215	4099
507	4223	4090
508	4231	4082
509	4239	4073
510	4247	4064
511	4255	4056
512	4264	4048
513	4272	4039
514	4280	4031
515	4288	4022
516	4296	4013
517	4304	4005
518	4312	3996
519	4320	3988
520	4328	3980
521	4337	3971
522	4345	3962
523	4353	3954
524	4361	3946
525	4370	3938
526	4378	3929
527	4386	3921
528	4395	3913
529	4403	3905
530	4411	3896
531	4420	3888
532	4428	3880
533	4437	3872
534	4445	3863
535	4453	3855
536	4461	3847
537	4470	3838
538	4478	3830
539	4486	3822
540	4495	3813
541	4503	3805
542	4511	3796
543	4520	3788
544	4528	3781
545	4537	3772
546	4545	3764
547	4553	3755
548	4561	3747
549	4569	3738
550	4577	3730
551	4585	3721
552	4593	3713
553	4601	3704
554	4610	3696
555	4617	3687
556	4626	3679
557	4634	3670
558	4642	3662
559	4650	3653
560	4658	3645
561	4666	3636
562	4674	3628
563	4682	3619
564	4690	3611
565	4698	3603
566	4707	3594
567	4715	3586
568	4723	3577
569	4731	3569
570	4739	3560
571	4747	3552
572	4756	3544
573	4764	3535
574	4772	3527
575	4780	3519
576	4789	3510
577	4797	3502
578	4805	3494
579	4813	3485
580	4821	3477
581	4830	3469
582	4838	3460
583	4846	3452
584	4854	3443
585	4862	3435
586	4870	3426
587	4878	3418
588	4886	3409
589	4894	3401
590	4902	3392
591	4910	3384
592	4918	3375
593	4926	3367
594	4934	3359
595	4943	3350
596	4951	3342
597	4960	3334
598	4968	3326
599	4977	3318
600	4985	3309
601	4992	3301
602	5000	3292
603	5009	3284
604	5017	3276
605	5026	3267
606	5034	3259
607	5043	3251
608	5051	3243
609	5059	3235
610	5068	3226
611	5076	3218
612	5084	3210
613	5092	3201
614	5100	3193
615	5108	3184
616	5116	3176
617	5124	3167
618	5132	3159
619	5140	3150
620	5149	3142
621	5156	3133
622	5164	3125
623	5173	3117
624	5181	3108
625	5189	3100
626	5198	3092
627	5207	3084
628	5215	3076
629	5223	3067
630	5231	3059
631	5239	3051
632	5248	3042
633	5256	3034
634	5264	3026
635	5273	3017
636	5280	3009
637	5288	3000
638	5297	2992
639	5305	2984
640	5313	2975
641	5321	2967
642	5329	2958
643	5337	2950
644	5345	2941
645	5353	2933
646	5361	2925
647	5369	2916
648	5377	2908
649	5385	2900
650	5393	2891
651	5401	2883
652	5409	2874
653	5417	2866
654	5425	2857
655	5434	2849
656	5442	2841
657	5450	2832
658	5459	2824
659	5467	2816
660	5475	2808
661	5483	2799
662	5491	2791
663	5499	2783
664	5507	2774
665	5515	2766
666	5523	2757
667	5531	2749
668	5540	2741
669	5548	2732
670	5556	2724
671	5564	2715
672	5572	2707
673	5580	2699
674	5588	2690
675	5596	2682
676	5604	2673
677	5612	2665
678	5621	2657
679	5629	2648
680	5637	2640
681	5645	2632
682	5653	2623
683	5661	2615
684	5669	2607
685	5678	2599
686	5686	2590
687	5695	2582
688	5703	2574
689	5711	2565
690	5719	2557
691	5728	2549
692	5736	2541
693	5744	2532
694	5752	2524
695	5760	2516
696	5768	2507
697	5776	2499
698	5784	2490
699	5792	2482
700	5801	2474
701	5809	2466
702	5817	2457
703	5826	2449
704	5834	2441
705	5842	2433
706	5851	2424
707	5859	2416
708	5867	2408
709	5875	2399
710	5883	2391
711	5891	2383
712	5899	2374
713	5907	2366
714	5915	2358
715	5923	2349
716	5932	2341
717	5939	2332
718	5947	2324
719	5955	2316
720	5963	2307
721	5971	2299
722	5980	2291
723	5988	2282
724	5996	2274
725	6004	2266
726	6012	2257
727	6020	2249
728	6028	2241
729	6036	2232
730	6045	2224
731	6053	2216
732	6060	2207
733	6068	2199
734	6077	2191
735	6085	2182
736	6094	2174
737	6102	2166
738	6111	2158
739	6119	2150
740	6128	2141
741	6136	2133
742	6144	2125
743	6152	2117
744	6160	2108
745	6169	2100
746	6177	2092
747	6186	2084
748	6194	2075
749	6202	2067
750	6210	2059
751	6219	2050
752	6227	2042
753	6235	2034
754	6244	2026
755	6252	2017
756	6260	2009
757	6269	2001
758	6277	1993
759	6285	1984
760	6294	1976
761	6302	1968
762	6310	1959
763	6317	1951
764	6326	1943
765	6334	1934
766	6342	1926
767	6350	1918
768	6358	1910
769	6366	1901
770	6374	1893
771	6383	1885
772	6391	1876
773	6399	1868
774	6407	1860
775	6415	1851
776	6423	1843
777	6432	1835
778	6440	1827
779	6449	1819
780	6457	1810
781	6466	1802
782	6474	1794
783	6482	1786
784	6490	1777
785	6498	1769
786	6506	1761
787	6515	1752
788	6523	1744
789	6531	1736
790	6540	1728
791	6548	1719
792	6556	1711
793	6565	1703
794	6573	1695
795	6581	1686
796	6590	1678
797	6598	1670
798	6606	1662
799	6614	1653
800	6623	1645
801	6631	1637
802	6639	1628
803	6648	1620
804	6656	1612
805	6664	1604
806	6673	1595
807	6682	1587
808	6690	1579
809	6698	1571
810	6706	1562
811	6715	1554
812	6723	1546
813	6732	1538
814	6740	1530
815	6749	1521
816	6757	1513
817	6766	1505
818	6774	1497
819	6783	1488
820	6792	1480
821	6800	1472
822	6808	1464
823	6817	1456
824	6825	1447
825	6833	1439
826	6842	1431
827	6850	1423
828	6858	1414
829	6867	1406
830	6875	1398
831	6883	1389
832	6892	1381
833	6900	1373
834	6908	1365
835	6917	1356
836	6925	1348
837	6934	1340
838	6942	1332
839	6950	1323
840	6958	1315
841	6966	1307
842	6975	1299
843	6983	1290
844	6992	1282
845	7000	1274
846	7008	1266
847	7017	1257
848	7025	1249
849	7033	1241
850	7042	1233
851	7050	1224
852	7059	1216
853	7067	1208
854	7075	1199
855	7083	1191
856	7091	1183
857	7099	1175
858	7108	1166
859	7116	1158
860	7124	1150
861	7132	1141
862	7141	1133
863	7149	1125
864	7157	1117
865	7166	1108
866	7174	1100
867	7182	1092
868	7191	1084
869	7199	1075
870	7207	1067
871	7215	1059
872	7223	1050
873	7231	1042
874	7239	1034
875	7247	1025
876	7256	1017
877	7264	1009
878	7272	1001
879	7280	992
880	7288	984
881	7297	976
882	7305	968
883	7314	959
884	7322	951
885	7331	943
886	7339	935
887	7347	926
888	7356	918
889	7364	910
890	7373	902
891	7381	893
892	7390	885
893	7399	877
894	7407	869
895	7415	860
896	7423	852
897	7432	844
898	7440	835
899	7449	827
900	7457	819
901	7465	811
902	7474	802
903	7482	794
904	7490	786
905	7499	778
906	7507	769
907	7516	761
908	7524	753
909	7532	745
910	7541	736
911	7549	728
912	7557	720
913	7565	711
914	7574	703
915	7582	695
916	7590	687
917	7598	678
918	7607	670
919	7615	662
920	7623	653
921	7632	645
922	7640	637
923	7648	629
924	7656	620
925	7664	612
926	7672	604
927	7680	595
928	7688	587
929	7696	579
930	7704	571
931	7712	562
932	7720	554
933	7728	546
934	7737	537
935	7745	529
936	7753	521
937	7761	513
938	7769	504
939	7777	496
940	7785	488
941	7793	479
942	7801	471
943	7809	463
944	7817	455
945	7825	446
946	7833	438
947	7841	430
948	7849	421
949	7857	413
950	7865	405
951	7873	397
952	7881	388
953	7890	380
954	7898	372
955	7906	363
956	7914	355
957	7922	347
958	7930	339
959	7938	330
960	7947	322
961	7955	314
962	7964	306
963	7972	297
964	7980	289
965	7989	281
966	7997	272
967	8006	264
968	8014	256
969	8023	248
970	8032	239
971	8040	231
972	8048	223
973	8057	215
974	8065	206
975	8073	198
976	8081	190
977	8089	181
978	8097	173
979	8105	165
980	8113	157
981	8121	148
982	8129	140
983	8137	132
984	8145	124
985	8153	115
986	8162	107
987	8170	99
988	8178	90
989	8186	82
990	8194	74
991	8202	66
992	8211	57
993	8219	49
994	8227	41
995	8236	33
996	8244	24
997	8252	16
998	8261	8
999	8269	0
